pickup_date,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code_id,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,pickup_location_id,dropoff_location_id,junk1,junk2,trip_duration_minutes
2009-01-01,0,CMT,2009-01-01 00:00:00,2009-01-01 00:05:03,2,0.9,-73.99748,40.725956,,,-74.005936,40.735706,Cash,5.4,0,0.0,0.0,0.0,0.0,5.4,0,0,,,5.05
2009-01-01,0,CMT,2009-01-01 00:00:00,2009-01-01 00:04:12,1,1.3,-73.96591,40.77124,,,-73.949615,40.777058,Cash,5.8,0,0.0,0.0,0.0,0.0,5.7999997,0,0,,,4.2
2009-01-01,0,CMT,2009-01-01 00:00:07,2009-01-01 00:19:01,1,5.5,-74.00065,40.718575,,,-73.94458,40.712368,Cash,27.8,0,0.0,0.0,0.0,0.0,27.8,0,0,,,18.9
2009-01-01,0,CMT,2009-01-01 00:00:27,2009-01-01 00:27:44,1,12.3,-73.782104,40.644882,,,-73.96357,40.676346,Cash,30.2,0,0.0,0.0,0.0,0.0,30.2,0,0,,,27.283333333333335
2009-01-01,0,CMT,2009-01-01 00:00:29,2009-01-01 00:14:58,1,9.099999,-73.86278,40.769028,,,-73.94092,40.82327,Credit,21.4,0,0.0,5.0,5.0,0.0,31.4,0,0,,,14.483333333333333
2009-01-01,0,CMT,2009-01-01 00:00:29,2009-01-01 00:17:16,1,5.9,-73.986374,40.726578,,,-73.9675,40.793053,Cash,15.8,0,0.0,0.0,0.0,0.0,15.8,0,0,,,16.783333333333335
2009-01-01,0,CMT,2009-01-01 00:01:03,2009-01-01 00:23:30,1,12.0,-73.960396,40.81968,,,-73.9939,40.689407,Credit,29.0,0,0.0,4.97,4.15,0.0,38.119995,0,0,,,22.45
2009-01-01,0,CMT,2009-01-01 00:01:12,2009-01-01 00:05:08,1,1.4,-73.96726,40.76049,,,-73.952484,40.77332,Cash,5.8,0,0.0,0.0,0.0,0.0,5.7999997,0,0,,,3.933333333333333
2009-01-01,0,CMT,2009-01-01 00:01:17,2009-01-01 00:08:07,1,2.7,-73.95768,40.76975,,,-73.98308,40.73502,Cash,8.6,0,0.0,0.0,0.0,0.0,8.599999,0,0,,,6.833333333333333
2009-01-01,0,CMT,2009-01-01 00:01:25,2009-01-01 00:05:35,1,0.7,-73.979866,40.726883,,,-73.98007,40.73499,Cash,5.0,0,0.0,0.0,0.0,0.0,5.0,0,0,,,4.166666666666667
2009-01-01,0,CMT,2009-01-01 00:01:28,2009-01-01 00:04:34,3,0.4,-74.00273,40.73996,,,-74.00389,40.74435,Cash,4.2,0,0.0,0.0,0.0,0.0,4.2,0,0,,,3.1
2009-01-01,0,CMT,2009-01-01 00:01:37,2009-01-01 00:11:33,3,2.5,-73.90663,40.712963,,,-73.952774,40.7099,Cash,9.4,0,0.0,0.0,0.0,0.0,9.4,0,0,,,9.933333333333334
2009-01-01,0,CMT,2009-01-01 00:01:49,2009-01-01 00:10:01,1,1.5,-74.00172,40.719494,,,-73.98904,40.736816,Cash,7.4,0,0.0,0.0,0.0,0.0,7.4,0,0,,,8.2
2009-01-01,0,CMT,2009-01-01 00:02:28,2009-01-01 00:04:33,1,0.29999998,-73.99282,40.730427,,,-73.99199,40.7261,Cash,3.8,0,0.0,0.0,0.0,0.0,3.8,0,0,,,2.0833333333333335
2009-01-01,0,CMT,2009-01-01 00:02:42,2009-01-01 00:06:21,2,1.0,-73.98201,40.772217,,,-73.97872,40.78519,Cash,5.4,0,0.0,0.0,0.0,0.0,5.4,0,0,,,3.65
2009-01-01,0,CMT,2009-01-01 00:02:43,2009-01-01 00:14:53,1,2.3999999,-73.97693,40.74754,,,-74.00333,40.73179,Cash,9.4,0,0.0,0.0,0.0,0.0,9.4,0,0,,,12.166666666666666
2009-01-01,0,CMT,2009-01-01 00:02:45,2009-01-01 00:48:05,1,22.0,-73.78852,40.64727,,,-73.939095,40.71746,Cash,53.0,0,0.0,0.0,0.0,0.0,53.0,0,0,,,45.333333333333336
2009-01-01,0,CMT,2009-01-01 00:02:51,2009-01-01 00:09:28,4,0.7,-73.9793,40.762318,,,-73.97463,40.756218,Cash,5.8,0,0.0,0.0,0.0,0.0,5.7999997,0,0,,,6.616666666666666
